Name,Area,Type,Equity Taken,Fee,Funding Guarantee,Investor Access,Conf. Hall Capacity,Call Booths,Seating Scalability,Program Structure,Brand Value,Ideal Stage,Founder Freedom,Time Lock-in,External Mentors,Google Maps Link,Contact Details
WeWork Labs,Andheri / BKC,Coworking + Labs,NIL,Paid,❌,8,20–50,Yes,High,Flexible / Mentorship,9,Pre-seed → Seed,10,❌,10,https://maps.google.com/?q=WeWork+Labs+Mumbai,1800 123 2223 | wework.co.in
91Springboard – Technopark,Andheri East,Coworking,NIL,Paid,❌,7,20–30,Yes,High,Event-based,8,Idea → Early,10,❌,10,https://maps.google.com/?q=91Springboard+Technopark+Andheri,+91 95975 19191 | 91springboard.com
91Springboard – Lotus,Andheri East,Coworking,NIL,Paid,❌,7,20–30,Yes,High,Event-based,8,Idea → Early,10,❌,10,https://maps.google.com/?q=91Springboard+Lotus+Andheri,+91 95975 19191 | 91springboard.com
Zone Startups India,BKC,Accelerator,4–7%,❌,⚠️,9,50+,Yes,Medium,4–6 Month Cohort,9,Seed → Series A,3,✅,0,https://maps.google.com/?q=Zone+Startups+India+BKC,india.zonestartups.com
AIC-NMIMS,Vile Parle West,Govt Incubator,0–2%,❌,⚠️,8,100+,Limited,Medium,Govt/Structured,8,Idea → Pre-seed,6,⚠️,6,https://maps.google.com/?q=AIC-NMIMS+Mumbai,022 4235 5880 | aic@nmims.edu
WeWork Raheja Platinum,Andheri East,Coworking,NIL,Paid,❌,5,10–20,Yes,High,None,9,Any,10,❌,10,https://maps.google.com/?q=WeWork+Raheja+Platinum,1800 123 2223 | wework.co.in
WeWork Vijay Diamond,Andheri East,Coworking,NIL,Paid,❌,5,10–20,Yes,High,None,9,Any,10,❌,10,https://maps.google.com/?q=WeWork+Vijay+Diamond,1800 123 2223 | wework.co.in
WeWork NESCO,Goregaon East,Coworking,NIL,Paid,❌,5,10–20,Yes,High,None,9,Any,10,❌,10,https://maps.google.com/?q=WeWork+NESCO+Goregaon,1800 123 2223 | wework.co.in
WeWork Spectrum (Malad),Malad West,Coworking,NIL,Paid,❌,5,10–20,Yes,High,None,9,Any,10,❌,10,https://maps.google.com/?q=WeWork+Spectrum+Malad,1800 123 2223 | wework.co.in
CoWrks / Local hubs,Goregaon,Coworking,NIL,Paid,❌,5,15–20,Yes,Medium,None,8,Early,8,❌,10,https://maps.google.com/?q=CoWrks+Goregaon,cowrks.com
YesssWorks – Ackruti,Andheri East,Coworking,NIL,Paid,❌,4,10–15,Yes,Medium,None,7,Solo / Early,8,❌,10,https://maps.google.com/?q=YesssWorks+Ackruti,+91 89295 04480 | yesssworks.com
YesssWorks – Pinnacle,Andheri East,Coworking,NIL,Paid,❌,4,10–15,Yes,Medium,None,7,Solo / Early,8,❌,10,https://maps.google.com/?q=YesssWorks+Pinnacle,+91 89295 04480 | yesssworks.com
Thakur Incubation Centre,Kandivali East,College Incubator,NIL,❌,❌,3,100+,No,Low,Academic/Student,5,Student / Idea,4,⚠️,❌,https://maps.google.com/?q=Thakur+Incubation+Centre+Kandivali,tcetmumbai.in
SFIT IIC,Borivali West,College IIC,NIL,❌,❌,3,100+,No,Low,Academic/Student,5,Student / Idea,4,❌,❌,https://maps.google.com/?q=SFIT+Mumbai,+91 91673 70622 | sfit.ac.in
Dalmia Lions IIC,Malad West,College IIC,NIL,❌,❌,3,100+,No,Low,Academic/Student,5,Student / Idea,4,❌,❌,https://maps.google.com/?q=Prahladrai+Dalmia+Lions+College,dalmialionscollege.ac.in
