Name,Type,Address,Contact & Website,Startups Incubated,Notable Portfolio,Equity Taken,Fee,Funding Guarantee,Investor Access,Conf. Hall Capacity,Call Booths,Seating Scalability,Program Structure,Brand Value,Ideal Stage,Founder Freedom,Time Lock-in
Venture Catalysts (VCats),Private Accelerator & VC,"Mittal Commercia, Andheri East",+91 9930013972 | venturecatalysts.in,300+ Funded,"BharatPe, Beardo, Innov8",5–10%,NIL,Yes (If selected),10,20-30,Yes,Low,90-Day Acceleration Cohort,9,Seed → Series A,6,Yes
JIIF (JITO Incubation),Angel Network + Incubator,"MIDC Marol, Andheri East",+91 8779122554 | jitojiif.com,110+ Invested,"BluSmart, Fasal, ChargeGrid",3% or Deal-based,Membership,Yes (Post-pitch),9,20-30,Yes,Low,JIIF Cohorts,8,Pre-Seed → Seed,7,No
TiE Mumbai,Angel Network & Incubator,"Sahana Enclave, Bandra West",mumbai.tie.org,Hundreds Mentored,Sector Agnostic,Deal-based,Membership,No (Pitch-based),10,50+,Yes,Medium,Charter Mentorship,10,Pre-Seed → Series A,8,No
SP-TBI (Sardar Patel TBI),Govt-Backed Incubator (DST),"Bhavans Campus, Andheri West",022-26277732 | sptbi.com,100+ Incubated,"WorkIndia, Liminal, Karkhana.io",0–2%,Subsidized,Grants (NIDHI-PRAYAS),8,50+,Yes,Medium,Milestone-based,9,Idea → Pre-Seed,7,Yes
AIC-NMIMS,Govt-Backed (NITI Aayog),"V L Mehta Road, Vile Parle West",022-42355880 | aic.nmims.edu,50+ Incubated,"Websites.co.in, EdTech",0–2%,NIL,Grants (Startup India),8,100+,Limited,Medium,Launchpad Program,8,Idea → Pre-Seed,7,Yes
Zone Startups India,Corporate Accelerator,BSE HQ / Partner hubs in BKC,india.zonestartups.com,414 Accelerated,"Flexiloans, Discover Dollar",4–7%,NIL,Yes,9,50+,Yes,Medium,Corporate Programs,9,Seed → Series A,6,Yes
WebEngage Startup Program,Corporate Accelerator,Goregaon East,webengage.com,Early-stage tech,"B2B SaaS, MarTech",Credits-based,NIL,Yes (Scale Support),8,50+,Yes,Medium,6-Month Scale-up,8,Early → Seed,8,Yes
India SME Accelerator Network,SME/Startup Accelerator,"Workafella, Goregaon West",indiasmeaccelerator.org,25 per Cohort,"SME, Retail, Tech",Fee/Equity mix,Paid,No,6,20-30,Yes,Medium,3-Month Cohort,6,Early → Growth,8,Yes
AIC-RMP (Rambhau Mhalgi),Govt-Backed (NITI Aayog),Malad / Bhayandar,022-8450109 | aic-rmp.org,40+ Incubated,"AI/ML, AgriTech, MedTech",0–2%,Subsidized,Grants Available,7,100+,Limited,High,Biz-Tech Bootcamps,7,Idea → Pre-Seed,7,Yes
SPJIMR WISE Tech,B-School Accelerator,"SPJIMR Campus, Andheri West",wisetech@spjimr.org,Cohort 5 Active,Early-stage tech,NIL,NIL,Cloud Credits Only,7,100+,Yes,Medium,3-Month Cohort,9,Pre-Seed → Seed,8,Yes
